hello worldsink_buff:100 
 cnt:0  val: -1384 
 cnt:237  val: -7460 
 cnt:238  val: -7320 
 cnt:239  val: -7008 
 cnt:240  val: -7008 
 cnt:241  val: -7008 
 cnt:242  val: -6852 
 cnt:243  val: -6676 
 cnt:244  val: -6256 
 cnt:245  val: -6544 
 cnt:246  val: -6236 
 cnt:247  val: -6004 
 cnt:248  val: -5996 
 cnt:249  val: -6004 
 cnt:250  val: -5996 
 cnt:251  val: -6004 
 cnt:252  val: -5996 
 cnt:253  val: -6076 
 cnt:254  val: -6592 
 cnt:255  val: -6136 
 cnt:256  val: -6152 
 cnt:257  val: -6664 
 cnt:258  val: -6668 
 cnt:259  val: -6748 
 cnt:260  val: -6988 
 cnt:261  val: -7068 
 cnt:262  val: -7340 
 cnt:263  val: -7348 
 cnt:264  val: -7484 
 cnt:265  val: -7988 
 cnt:266  val: -7580 
 cnt:267  val: -7620 
 cnt:268  val: -8000 
 cnt:269  val: -8000 
 cnt:270  val: -8000 
 cnt:271  val: -8000 
 cnt:272  val: -8000 
 cnt:273  val: -8000 
 cnt:274  val: -7980 
 cnt:275  val: -7460 
 cnt:276  val: -7740 
 cnt:277  val: -7460 
 cnt:278  val: -7320 
 cnt:279  val: -7008 
 cnt:280  val: -7008 
 cnt:281  val: -7008 
 cnt:282  val: -6852 
 cnt:283  val: -6676 
 cnt:284  val: -6256 
 cnt:285  val: -6544 
 cnt:286  val: -6236 
 cnt:287  val: -6004 
 cnt:288  val: -5996 
 cnt:289  val: -6004 
 cnt:290  val: -5996 
 cnt:291  val: -6004 
 cnt:292  val: -5996 
 cnt:293  val: -6076 
 cnt:294  val: -6592 
 cnt:295  val: -6136 
 cnt:296  val: -6152 
 cnt:297  val: -6664 
 cnt:298  val: -6668 
 cnt:299  val: -6748 
 cnt:300  val: -6988 
 cnt:301  val: -7068 
 cnt:302  val: -7340 
 cnt:303  val: -7348 
 cnt:304  val: -7484 
 cnt:305  val: -7988 
 cnt:306  val: -7580 
 cnt:307  val: -7620 
 cnt:308  val: -8000 
 cnt:309  val: -8000 
 cnt:310  val: -8000 
 cnt:311  val: -8000 
 cnt:312  val: -8000 
 cnt:313  val: -8000 
 cnt:314  val: -7980 
 cnt:315  val: -7460 
 cnt:316  val: -7740 
 cnt:317  val: -7460 
 cnt:318  val: -7320 
 cnt:319  val: -7008 
 cnt:320  val: -7008 
 cnt:321  val: -7008 
 cnt:322  val: -6852 
 cnt:323  val: -6676 
 cnt:324  val: -6256 
 cnt:325  val: -6544 
 cnt:326  val: -6236 
 cnt:327  val: -6004 
 cnt:328  val: -5996 
 cnt:329  val: -6004 
 cnt:330  val: -5996 
 cnt:331  val: -6004 
 cnt:332  val: -5996 
 cnt:333  val: -6076 
 cnt:334  val: -6592 
 cnt:335  val: -6136 
 cnt:336  val: -6152 
 cnt:337  val: -6664 
 cnt:338  val: -6668 
 cnt:339  val: -6748 
 cnt:340  val: -6988 
 cnt:341  val: -7068 
 cnt:342  val: -7340 
 cnt:343  val: -7348 
 cnt:344  val: -7484 
 cnt:345  val: -7988 
 cnt:346  val: -7580 
 cnt:347  val: -7620 
 cnt:348  val: -8000 
 cnt:349  val: -8000 
 cnt:350  val: -8000 
 cnt:351  val: -8000 
 cnt:352  val: -8000 
 cnt:353  val: -8000 
 cnt:354  val: -7980 
 cnt:355  val: -7460 
 cnt:356  val: -7740 
 cnt:357  val: -7460 
 cnt:358  val: -7320 
 cnt:359  val: -7008 
 cnt:360  val: -7008 
 cnt:361  val: -7008 
 cnt:362  val: -6852 
 cnt:363  val: -6676 
 cnt:364  val: -6256 
 cnt:365  val: -6544 
 cnt:366  val: -6236 
 cnt:367  val: -6004 
 cnt:368  val: -5996 
 cnt:369  val: -6004 
 cnt:370  val: -5996 
 cnt:371  val: -6004 
 cnt:372  val: -5996 
 cnt:373  val: -6076 
 cnt:374  val: -6592 
 cnt:375  val: -6136 
 cnt:376  val: -6152 
 cnt:377  val: -6664 
 cnt:378  val: -6668 
 cnt:379  val: -6748 
 cnt:380  val: -6988 
 cnt:381  val: -7068 
 cnt:382  val: -7340 
 cnt:383  val: -7348 
 cnt:384  val: -7484 
 cnt:385  val: -7988 
 cnt:386  val: -7580 
 cnt:387  val: -7620 
 cnt:388  val: -8000 
 cnt:389  val: -8000 
 cnt:390  val: -8000 
 cnt:391  val: -8000 
 cnt:392  val: -8000 
 cnt:393  val: -8000 
 cnt:394  val: -7980 
 cnt:395  val: -7460 
 cnt:396  val: -7740 
 cnt:397  val: -7460 
 cnt:398  val: -7320 
 cnt:399  val: -7008 
 cnt:400  val: -7008 
 cnt:401  val: -7008 
 cnt:402  val: -6852 
 cnt:403  val: -6676 
 cnt:404  val: -6256 
 cnt:405  val: -6544 
 cnt:406  val: -6236 
 cnt:407  val: -6004 
 cnt:408  val: -5996 
 cnt:409  val: -6004 
 cnt:410  val: -5996 
 cnt:411  val: -6004 
 cnt:412  val: -5996 
 cnt:413  val: -6076 
 cnt:414  val: -6592 
 cnt:415  val: -6136 
 cnt:416  val: -6152 
 cnt:417  val: -6664 
 cnt:418  val: -6668 
 cnt:419  val: -6748 
 cnt:420  val: -6988 
 cnt:421  val: -7068 
 cnt:422  val: -7340 
 cnt:423  val: -7348 
 cnt:424  val: -7484 
 cnt:425  val: -7988 
 cnt:426  val: -7580 
 cnt:427  val: -7620 
 cnt:428  val: -8000 
 cnt:429  val: -8000 
 cnt:430  val: -8000 
 cnt:431  val: -8000 
 cnt:432  val: -8000 
 cnt:433  val: -8000 
 cnt:434  val: -7980 
 cnt:435  val: -7460 
 cnt:436  val: -7740 
 cnt:437  val: -7460 
 cnt:438  val: -7320 
 cnt:439  val: -7008 
 cnt:440  val: -7008 
 cnt:441  val: -7008 
 cnt:442  val: -6852 
 cnt:443  val: -6676 
 cnt:444  val: -6256 
 cnt:445  val: -6544 
 cnt:446  val: -6236 
 cnt:447  val: -6004 
 cnt:448  val: -5996 
 cnt:449  val: -6004 
 cnt:450  val: -5996 
 cnt:451  val: -6004 
 cnt:452  val: -5996 
 cnt:453  val: -6076 
 cnt:454  val: -6592 
 cnt:455  val: -6136 
 cnt:456  val: -6152 
 cnt:457  val: -6664 
 cnt:458  val: -6668 
 cnt:459  val: -6748 
 cnt:460  val: -6988 
 cnt:461  val: -7068 
 cnt:462  val: -7340 
 cnt:463  val: -7348 
 cnt:464  val: -7484 
 cnt:465  val: -7988 
 cnt:466  val: -7580 
 cnt:467  val: -7620 
 cnt:468  val: -8000 
 cnt:469  val: -8000 
 cnt:470  val: -8000 
 cnt:471  val: -8000 
 cnt:472  val: -8000 
 cnt:473  val: -8000 
 cnt:474  val: -7980 
 cnt:475  val: -7460 
 cnt:476  val: -7740 
 cnt:477  val: -7460 
 cnt:478  val: -7320 
 cnt:479  val: -7008 
 cnt:480  val: -7008 
 cnt:481  val: -7008 
 cnt:482  val: -6852 
 cnt:483  val: -6676 
 cnt:484  val: -6256 
 cnt:485  val: -6544 
 cnt:486  val: -6236 
 cnt:487  val: -6004 
 cnt:488  val: -5996 
 cnt:489  val: -6004 
 cnt:490  val: -5996 
 cnt:491  val: -6004 
 cnt:492  val: -5996 
 cnt:493  val: -6076 
 cnt:494  val: -6592 
 cnt:495  val: -6136 
 cnt:496  val: -6152 
 cnt:497  val: -6664 
 cnt:498  val: -6668 
 cnt:499  val: -6748 
 cnt:500  val: -6988 
 cnt:501  val: -7068 
 cnt:502  val: -7340 
 cnt:503  val: -7348 
 cnt:504  val: -7484 
 cnt:505  val: -7988 
 cnt:506  val: -7580 
 cnt:507  val: -7620 
 cnt:508  val: -8000 
 cnt:509  val: -8000 
 cnt:510  val: -8000 
 cnt:511  val: -8000 
 cnt:512  val: -8000 
 cnt:513  val: -8000 
 cnt:514  val: -7980 
 cnt:515  val: -7460 
 cnt:516  val: -7740 
 cnt:517  val: -7460 
 cnt:518  val: -7320 
 cnt:519  val: -7008 
 cnt:520  val: -7008 
 cnt:521  val: -7008 
 cnt:522  val: -6852 
 cnt:523  val: -6676 
 cnt:524  val: -6256 
 cnt:525  val: -6544 
 cnt:526  val: -6236 
 cnt:527  val: -6004 
 cnt:528  val: -5996 
 cnt:529  val: -6004 
 cnt:530  val: -5996 
 cnt:531  val: -6004 
 cnt:532  val: -5996 
 cnt:533  val: -6076 
 cnt:534  val: -6592 
 cnt:535  val: -6136 
 cnt:536  val: -6152 
 cnt:537  val: -6664 
 cnt:538  val: -6668 
 cnt:539  val: -6748 
 cnt:540  val: -6988 
 cnt:541  val: -7068 
 cnt:542  val: -7340 
 cnt:543  val: -7348 
 cnt:544  val: -7484 
 cnt:545  val: -7988 
 cnt:546  val: -7580 
 cnt:547  val: -7620 
 cnt:548  val: -8000 
 cnt:549  val: -8000 
 cnt:550  val: -8000 
 cnt:551  val: -8000 
 cnt:552  val: -8000 
 cnt:553  val: -8000 
 cnt:554  val: -7980 
 cnt:555  val: -7460 
 cnt:556  val: -7740 
 cnt:557  val: -7460 
 cnt:558  val: -7320 
 cnt:559  val: -7008 
 cnt:560  val: -7008 
 cnt:561  val: -7008 
 cnt:562  val: -6852 
 cnt:563  val: -6676 
 cnt:564  val: -6256 
 cnt:565  val: -6544 
 cnt:566  val: -6236 
 cnt:567  val: -6004 
 cnt:568  val: -5996 
 cnt:569  val: -6004 
 cnt:570  val: -5996 
 cnt:571  val: -6004 
 cnt:572  val: -5996 
 cnt:573  val: -6076 
 cnt:574  val: -6592 
 cnt:575  val: -6136 
 cnt:576  val: -6152 
 cnt:577  val: -6664 
 cnt:578  val: -6668 
 cnt:579  val: -6748 
 cnt:580  val: -6988 
 cnt:581  val: -7068 
 cnt:582  val: -7340 
 cnt:583  val: -7348 
 cnt:584  val: -7484 
 cnt:585  val: -7988 
 cnt:586  val: -7580 
 cnt:587  val: -7620 
 cnt:588  val: -8000 
 cnt:589  val: -8000 
 cnt:590  val: -8000 
 cnt:591  val: -8000 
 cnt:592  val: -8000 
 cnt:593  val: -8000 
 cnt:594  val: -7980 
 cnt:595  val: -7460 
 cnt:596  val: -7740 
 cnt:597  val: -7460 
 cnt:598  val: -7320 
 cnt:599  val: -7008 
 cnt:600  val: -7008 
 cnt:601  val: -7008 
 cnt:602  val: -6852 
 cnt:603  val: -6676 
 cnt:604  val: -6256 
 cnt:605  val: -6544 
 cnt:606  val: -6236 
 cnt:607  val: -6004 
 cnt:608  val: -5996 
 cnt:609  val: -6004 
 cnt:610  val: -5996 
 cnt:611  val: -6004 
 cnt:612  val: -5996 
 cnt:613  val: -6076 
 cnt:614  val: -6592 
 cnt:615  val: -6136 
 cnt:616  val: -6152 
 cnt:617  val: -6664 
 cnt:618  val: -6668 
 cnt:619  val: -6748 
 cnt:620  val: -6988 
 cnt:621  val: -7068 
 cnt:622  val: -7340 
 cnt:623  val: -7348 
 cnt:624  val: -7484 
 cnt:625  val: -7988 
 cnt:626  val: -7580 
 cnt:627  val: -7620 
 cnt:628  val: -8000 
 cnt:629  val: -8000 
 cnt:630  val: -8000 
 cnt:631  val: -8000 
 cnt:632  val: -8000 
 cnt:633  val: -8000 
 cnt:634  val: -7980 
 cnt:635  val: -7460 
 cnt:636  val: -7740 
 cnt:637  val: -7460 
 cnt:638  val: -7320 
 cnt:639  val: -7008 
 cnt:640  val: -7008 
 cnt:641  val: -7008 
 cnt:642  val: -6852 
 cnt:643  val: -6676 
 cnt:644  val: -6256 
 cnt:645  val: -6544 
 cnt:646  val: -6236 
 cnt:647  val: -6004 
 cnt:648  val: -5996 
 cnt:649  val: -6004 
 cnt:650  val: -5996 
 cnt:651  val: -6004 
 cnt:652  val: -5996 
 cnt:653  val: -6076 
 cnt:654  val: -6592 
 cnt:655  val: -6136 
 cnt:656  val: -6152 
 cnt:657  val: -6664 
 cnt:658  val: -6668 
 cnt:659  val: -6748 
 cnt:660  val: -6988 
 cnt:661  val: -7068 
 cnt:662  val: -7340 
 cnt:663  val: -7348 
 cnt:664  val: -7484 
 cnt:665  val: -7988 
 cnt:666  val: -7580 
 cnt:667  val: -7620 
 cnt:668  val: -8000 
 cnt:669  val: -8000 
 cnt:670  val: -8000 
 cnt:671  val: -8000 
 cnt:672  val: -8000 
 cnt:673  val: -8000 
 cnt:674  val: -7980 
 cnt:675  val: -7460 
 cnt:676  val: -7740 
 cnt:677  val: -7460 
 cnt:678  val: -7320 
 cnt:679  val: -7008 
 cnt:680  val: -7008 
 cnt:681  val: -7008 
 cnt:682  val: -6852 
 cnt:683  val: -6676 
 cnt:684  val: -6256 
 cnt:685  val: -6544 
 cnt:686  val: -6236 
 cnt:687  val: -6004 
 cnt:688  val: -5996 
 cnt:689  val: -6004 
 cnt:690  val: -5996 
 cnt:691  val: -6004 
 cnt:692  val: -5996 
 cnt:693  val: -6076 
 cnt:694  val: -6592 
 cnt:695  val: -6136 
 cnt:696  val: -6152 
 cnt:697  val: -6664 
 cnt:698  val: -6668 
 cnt:699  val: -6748 
 cnt:700  val: -6988 
 cnt:701  val: -7068 
 cnt:702  val: -7340 
 cnt:703  val: -7348 
 cnt:704  val: -7484 
 cnt:705  val: -7988 
 cnt:706  val: -7580 
 cnt:707  val: -7620 
 cnt:708  val: -8000 
 cnt:709  val: -8000 
 cnt:710  val: -8000 
 cnt:711  val: -8000 
 cnt:712  val: -8000 
 cnt:713  val: -8000 
 cnt:714  val: -7980 
 cnt:715  val: -7460 
 cnt:716  val: -7740 
 cnt:717  val: -7460 
 cnt:718  val: -7320 
 cnt:719  val: -7008 
 cnt:720  val: -7008 
 cnt:721  val: -7008 
 cnt:722  val: -6852 
 cnt:723  val: -6676 
 cnt:724  val: -6256 
 cnt:725  val: -6544 
 cnt:726  val: -6236 
 cnt:727  val: -6004 
 cnt:728  val: -5996 
 cnt:729  val: -6004 
 cnt:730  val: -5996 
 cnt:731  val: -6004 
 cnt:732  val: -5996 
 cnt:733  val: -6076 
 cnt:734  val: -6592 
 cnt:735  val: -6136 
 cnt:736  val: -6152 
 cnt:737  val: -6664 
 cnt:738  val: -6668 
 cnt:739  val: -6748 
 cnt:740  val: -6988 
 cnt:741  val: -7068 
 cnt:742  val: -7340 
 cnt:743  val: -7348 
 cnt:744  val: -7484 
 cnt:745  val: -7988 
 cnt:746  val: -7580 
 cnt:747  val: -7620 
 cnt:748  val: -8000 
 cnt:749  val: -8000 
 cnt:750  val: -8000 
 cnt:751  val: -8000 
 cnt:752  val: -8000 
 cnt:753  val: -8000 
 cnt:754  val: -7980 
 cnt:755  val: -7460 
 cnt:756  val: -7740 
 cnt:757  val: -7460 
 cnt:758  val: -7320 
 cnt:759  val: -7008 
 cnt:760  val: -7008 
 cnt:761  val: -7008 
 cnt:762  val: -6852 
 cnt:763  val: -6676 
 cnt:764  val: -6256 
 cnt:765  val: -6544 
 cnt:766  val: -6236 
 cnt:767  val: -6004 
 cnt:768  val: -5996 
 cnt:769  val: -6004 
 cnt:770  val: -5996 
 cnt:771  val: -6004 
 cnt:772  val: -5996 
 cnt:773  val: -6076 
 cnt:774  val: -6592 
 cnt:775  val: -6136 
 cnt:776  val: -6152 
 cnt:777  val: -6664 
 cnt:778  val: -6668 
 cnt:779  val: -6748 
 cnt:780  val: -6988 
 cnt:781  val: -7068 
 cnt:782  val: -7340 
 cnt:783  val: -7348 
 cnt:784  val: -7484 
 cnt:785  val: -7988 
 cnt:786  val: -7580 
 cnt:787  val: -7620 
 cnt:788  val: -8000 
 cnt:789  val: -8000 
 cnt:790  val: -8000 
 cnt:791  val: -8000 
 cnt:792  val: -8000 
 cnt:793  val: -8000 
 cnt:794  val: -7980 
 cnt:795  val: -7460 
 cnt:796  val: -7740 
 cnt:797  val: -7460 
 cnt:798  val: -7320 
 cnt:799  val: -7008 
 cnt:800  val: -7008 
 cnt:801  val: -7008 
 cnt:802  val: -6852 
 cnt:803  val: -6676 
 cnt:804  val: -6256 
 cnt:805  val: -6544 
 cnt:806  val: -6236 
 cnt:807  val: -6004 
 cnt:808  val: -5996 
 cnt:809  val: -6004 
 cnt:810  val: -5996 
 cnt:811  val: -6004 
 cnt:812  val: -5996 
 cnt:813  val: -6076 
 cnt:814  val: -6592 
 cnt:815  val: -6136 
 cnt:816  val: -6152 
 cnt:817  val: -6664 
 cnt:818  val: -6668 
 cnt:819  val: -6748 
 cnt:820  val: -6988 
 cnt:821  val: -7068 
 cnt:822  val: -7340 
 cnt:823  val: -7348 
 cnt:824  val: -7484 
 cnt:825  val: -7988 
 cnt:826  val: -7580 
 cnt:827  val: -7620 
 cnt:828  val: -8000 
 cnt:829  val: -8000 
 cnt:830  val: -8000 
 cnt:831  val: -8000 
 cnt:832  val: -8000 
 cnt:833  val: -8000 
 cnt:834  val: -7980 
 cnt:835  val: -7460 
 cnt:836  val: -7740 
 cnt:837  val: -7460 
 cnt:838  val: -7320 
 cnt:839  val: -7008 
 cnt:840  val: -7008 
 cnt:841  val: -7008 
 cnt:842  val: -6852 
 cnt:843  val: -6676 
 cnt:844  val: -6256 
 cnt:845  val: -6544 
 cnt:846  val: -6236 
 cnt:847  val: -6004 
 cnt:848  val: -5996 
 cnt:849  val: -6004 
 cnt:850  val: -5996 
 cnt:851  val: -6004 
 cnt:852  val: -5996 
 cnt:853  val: -6076 
 cnt:854  val: -6592 
 cnt:855  val: -6136 
 cnt:856  val: -6152 
 cnt:857  val: -6664 
 cnt:858  val: -6668 
 cnt:859  val: -6748 
 cnt:860  val: -6988 
 cnt:861  val: -7068 
 cnt:862  val: -7340 
 cnt:863  val: -7348 
 cnt:864  val: -7484 
 cnt:865  val: -7988 
 cnt:866  val: -7580 
 cnt:867  val: -7620 
 cnt:868  val: -8000 
 cnt:869  val: -8000 
 cnt:870  val: -8000 
 cnt:871  val: -8000 
 cnt:872  val: -8000 
 cnt:873  val: -8000 
 cnt:874  val: -7980 
 cnt:875  val: -7460 
 cnt:876  val: -7740 
 cnt:877  val: -7460 
 cnt:878  val: -7320 
 cnt:879  val: -7008 
 cnt:880  val: -7008 
 cnt:881  val: -7008 
 cnt:882  val: -6852 
 cnt:883  val: -6676 
 cnt:884  val: -6256 
 cnt:885  val: -6544 
 cnt:886  val: -6236 
 cnt:887  val: -6004 
 cnt:888  val: -5996 
 cnt:889  val: -6004 
 cnt:890  val: -5996 
 cnt:891  val: -6004 
 cnt:892  val: -5996 
 cnt:893  val: -6076 
 cnt:894  val: -6592 
 cnt:895  val: -6136 
 cnt:896  val: -6152 
 cnt:897  val: -6664 
 cnt:898  val: -6668 
 cnt:899  val: -6748 
 cnt:900  val: -6988 
 cnt:901  val: -7068 
 cnt:902  val: -7340 
 cnt:903  val: -7348 
 cnt:904  val: -7484 
 cnt:905  val: -7988 
 cnt:906  val: -7580 
 cnt:907  val: -7620 
 cnt:908  val: -8000 
 cnt:909  val: -8000 
 cnt:910  val: -8000 
 cnt:911  val: -8000 
 cnt:912  val: -8000 
 cnt:913  val: -8000 
 cnt:914  val: -7980 
 cnt:915  val: -7460 
 cnt:916  val: -7740 
 cnt:917  val: -7460 
 cnt:918  val: -7320 
 cnt:919  val: -7008 
 cnt:920  val: -7008 
 cnt:921  val: -7008 
 cnt:922  val: -6852 
 cnt:923  val: -6676 
 cnt:924  val: -6256 
 cnt:925  val: -6544 
 cnt:926  val: -6236 
 cnt:927  val: -6004 
 cnt:928  val: -5996 
 cnt:929  val: -6004 
 cnt:930  val: -5996 
 cnt:931  val: -6004 
 cnt:932  val: -5996 
 cnt:933  val: -6076 
 cnt:934  val: -6592 
 cnt:935  val: -6136 
 cnt:936  val: -6152 
 cnt:937  val: -6664 
 cnt:938  val: -6668 
 cnt:939  val: -6748 
 cnt:940  val: -6988 
 cnt:941  val: -7068 
 cnt:942  val: -7340 
 cnt:943  val: -7348 
 cnt:944  val: -7484 
 cnt:945  val: -7988 
 cnt:946  val: -7580 
 cnt:947  val: -7620 
 cnt:948  val: -8000 
 cnt:949  val: -8000 
 cnt:950  val: -8000 
 cnt:951  val: -8000 
 cnt:952  val: -8000 
 cnt:953  val: -8000 
 cnt:954  val: -7980 
 cnt:955  val: -7460 
 cnt:956  val: -7740 
 cnt:957  val: -7460 
 cnt:958  val: -7320 
 cnt:959  val: -7008 
 cnt:960  val: -7008 
 cnt:961  val: -7008 
 cnt:962  val: -6852 
 cnt:963  val: -6676 
 cnt:964  val: -6256 
 cnt:965  val: -6544 
 cnt:966  val: -6236 
 cnt:967  val: -6004 
 cnt:968  val: -5996 
 cnt:969  val: -6004 
 cnt:970  val: -5996 
 cnt:971  val: -6004 
 cnt:972  val: -5996 
 cnt:973  val: -6076 
 cnt:974  val: -6592 
 cnt:975  val: -6136 
 cnt:976  val: -6152 
 cnt:977  val: -6664 
 cnt:978  val: -6668 
 cnt:979  val: -6748 
 cnt:980  val: -6988 
 cnt:981  val: -7068 
 cnt:982  val: -7340 
 cnt:983  val: -7348 
 cnt:984  val: -7484 
 cnt:985  val: -7988 
 cnt:986  val: -7580 
 cnt:987  val: -7620 
 cnt:988  val: -8000 
 cnt:989  val: -8000 
 cnt:990  val: -8000 
 cnt:991  val: -8000 
 cnt:992  val: -8000 
 cnt:993  val: -8000 
 cnt:994  val: -7980 
 cnt:995  val: -7460 
 cnt:996  val: -7740 
